operator,case_id,input_shape,dtype,attrs,value_range,note
GridSampler3D,1,"[[2, 32, 32, 32, 32], [2, 32, 32, 32, 3]]","[""float16"", ""float16""]","{""interpolation_mode"": ""bilinear"", ""padding_mode"": ""zeros"", ""align_corners"": false}","[[-1, 1], [-1, 1]]",S-float16-2M-对齐-bilinear-zeros-align=false | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,2,"[[4, 64, 16, 16, 16], [4, 16, 16, 16, 3]]","[""float32"", ""float32""]","{""interpolation_mode"": ""bilinear"", ""padding_mode"": ""zeros"", ""align_corners"": false}","[[-2, 2], [-1, 1]]",S-float32-4M-对齐-bilinear-zeros-align=false | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,3,"[[2, 128, 8, 8, 8], [2, 8, 8, 8, 3]]","[""float16"", ""float16""]","{""interpolation_mode"": ""nearest"", ""padding_mode"": ""zeros"", ""align_corners"": true}","[[-3, 3], [-1, 1]]",S-float16-1M-对齐-nearest-zeros-align=true | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,4,"[[4, 64, 32, 32, 32], [4, 32, 32, 32, 3]]","[""float32"", ""float32""]","{""interpolation_mode"": ""bilinear"", ""padding_mode"": ""border"", ""align_corners"": true}","[[-10, 10], [-1, 1]]",M-float32-16M-对齐-bilinear-border-align=true | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,5,"[[2, 128, 64, 64, 64], [2, 64, 64, 64, 3]]","[""float16"", ""float16""]","{""interpolation_mode"": ""nearest"", ""padding_mode"": ""reflection"", ""align_corners"": false}","[[-100, 100], [-1, 1]]",L-float16-67M-对齐-nearest-reflection-align=false | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,6,"[[4, 256, 32, 32, 32], [4, 32, 32, 32, 3]]","[""float32"", ""float32""]","{""interpolation_mode"": ""bilinear"", ""padding_mode"": ""border"", ""align_corners"": false}","[[-1000, 1000], [-1, 1]]",L-float32-134M-对齐-bilinear-border-align=false | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,7,"[[3, 31, 31, 31, 31], [3, 31, 31, 31, 3]]","[""float16"", ""float16""]","{""interpolation_mode"": ""bilinear"", ""padding_mode"": ""zeros"", ""align_corners"": false}","[[-0.1, 0.1], [-1, 1]]",S-float16-3M-质数非对齐-bilinear-zeros-align=false | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,8,"[[2, 63, 15, 15, 15], [2, 15, 15, 15, 3]]","[""float32"", ""float32""]","{""interpolation_mode"": ""nearest"", ""padding_mode"": ""zeros"", ""align_corners"": true}","[[-1, 2], [-1, 1]]",S-float32-1M-非对齐-nearest-zeros-align=true | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,9,"[[3, 47, 23, 23, 23], [3, 23, 23, 23, 3]]","[""float16"", ""float16""]","{""interpolation_mode"": ""bilinear"", ""padding_mode"": ""reflection"", ""align_corners"": false}","[[-5, 10], [-1, 1]]",S-float16-2M-质数非对齐-bilinear-reflection-align=false | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,10,"[[5, 97, 43, 43, 43], [5, 43, 43, 43, 3]]","[""float32"", ""float32""]","{""interpolation_mode"": ""bilinear"", ""padding_mode"": ""zeros"", ""align_corners"": true}","[[-50, 100], [-1, 1]]",L-float32-50M-质数非对齐-bilinear-zeros-align=true | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,11,"[[2, 33, 33, 33, 33], [2, 33, 33, 33, 3]]","[""float16"", ""float16""]","{""interpolation_mode"": ""bilinear"", ""padding_mode"": ""border"", ""align_corners"": true}","[[-65504, 65504], [-1, 1]]",S-float16-2M-非对齐-float16边界值-bilinear-border | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,12,"[[3, 7, 13, 17, 4001], [3, 7, 13, 17, 3]]","[""float32"", ""float32""]","{""interpolation_mode"": ""nearest"", ""padding_mode"": ""zeros"", ""align_corners"": false}","[[-88, 88], [-1, 1]]",M-float32-1M-质数非对齐-float32边界值-nearest | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,13,"[[2, 31, 31, 31, 31], [2, 31, 31, 31, 3]]","[""float16"", ""float16""]","{""interpolation_mode"": ""bilinear"", ""padding_mode"": ""zeros"", ""align_corners"": false}","[[""-inf"", ""inf""], [-1, 1]]",S-float16-2M-非对齐-inf特殊值-bilinear-zeros | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,14,"[[2, 11, 13, 17, 19], [2, 11, 13, 17, 3]]","[""float32"", ""float32""]","{""interpolation_mode"": ""bilinear"", ""padding_mode"": ""zeros"", ""align_corners"": false}","[[""nan"", ""nan""], [-1, 1]]",S-float32-100K-质数非对齐-nan特殊值-bilinear | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,15,"[[4, 63, 31, 31, 31], [4, 31, 31, 31, 3]]","[""float16"", ""float16""]","{""interpolation_mode"": ""nearest"", ""padding_mode"": ""zeros"", ""align_corners"": false}","[[0, 0], [0, 0]]",M-float16-12M-非对齐-零值测试-nearest | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,16,"[[2, 16, 63, 63, 63], [2, 16, 63, 63, 3]]","[""float32"", ""float32""]","{""interpolation_mode"": ""bilinear"", ""padding_mode"": ""zeros"", ""align_corners"": false}","[[-0.5, 0.5], [-1, 1]]",M-float32-2M-混合非对齐-bilinear-zeros-align=false | baseline_kernels: Transpose×1 + GridSample×1
