operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
Gcd,1,"[[1024, 1024], [1024, 1024]]","['int16', 'int16']",{},"[[-1000, 1000], [-1000, 1000]]",2178.63,S-int16-1M-对齐-对称小值域
Gcd,2,"[[2048, 2048], [2048, 2048]]","['int32', 'int32']",{},"[[-10000, 10000], [-10000, 10000]]",99341.86,M-int32-4M-对齐-对称小值域
Gcd,3,"[[4096, 4096], [4096, 4096]]","['int64', 'int64']",{},"[[-100000, 100000], [-100000, 100000]]",22806245.86,L-int64-16M-对齐-对称小值域
Gcd,4,"[[8192, 8192], [8192, 8192]]","['int16', 'int16']",{},"[[-32768, 32767], [-32768, 32767]]",709541.31,L-int16-67M-对齐-int16全范围
Gcd,5,"[[4096, 8192], [4096, 8192]]","['int32', 'int32']",{},"[[-2147483648, 2147483647], [-2147483648, 2147483647]]",107384.94,L-int32-268M-对齐-int32全范围
Gcd,6,"[[1023, 1023], [1023, 1023]]","['int64', 'int64']",{},"[[-100, 100], [-100, 100]]",4183.07,M-int64-1M-非对齐-对称小值域
Gcd,7,"[[1009, 1021], [1009, 1021]]","['int32', 'int32']",{},"[[-1, 1], [-1, 1]]",23.7,S-int32-1M-质数非对齐-单位值gcd=1
Gcd,8,"[[1537, 769], [1537, 769]]","['int16', 'int16']",{},"[[-50, 50], [-10, 10]]",129.09,S-int16-1M-非对齐-非对称小值域
Gcd,9,"[[363, 367, 186], [363, 367, 186]]","['int64', 'int64']",{},"[[-10000, 10000], [-1000, 1000]]",27473768.07,L-int64-50M-质数非对齐-非对称大值域-3D
Gcd,10,"[[2049, 513], [2049, 513]]","['int32', 'int32']",{},"[[100, 100], [100, 100]]",23.66,S-int32-1M-非对齐-相同值gcd=n
Gcd,11,"[[1023, 1024], [1, 1024]]","['int32', 'int32']",{},"[[-10000, 10000], [-100, 100]]",9796.28,S-int32-1M-非对齐-尾轴Broadcast
Gcd,12,"[[3, 127, 687, 37], [1, 1, 687, 1]]","['int16', 'int16']",{},"[[-100, 100], [-10, 10]]",1929.25,M-int16-31M-非对齐-多轴Broadcast-4D
Gcd,13,"[[2, 3, 5, 1024, 256], [1, 1, 1, 1024, 1]]","['int64', 'int64']",{},"[[-10000, 10000], [-1000, 1000]]",1637378.15,M-int64-7M-非对齐-5D-多轴Broadcast
Gcd,14,"[[1048583], [1048583]]","['int32', 'int32']",{},"[[0, 0], [0, 0]]",23.51,S-int32-1M-质数非对齐-零值gcd=0-1D
Gcd,15,"[[11, 13, 17, 67, 67], [11, 13, 17, 67, 67]]","['int32', 'int32']",{},"[[1, 1], [1, 1]]",207.52,M-int32-10M-质数非对齐-单位值gcd=1-5D
Gcd,16,"[[3, 7, 11, 13, 1013], [1]]","['int16', 'int16']",{},"[[-100, 100], [1]]",1530.71,S-int16-3M-质数非对齐-标量Broadcast-5D
Gcd,17,"[[512, 2049], [512, 2049]]","['int64', 'int64']",{},"[[-10000, 10000], [-1000, 1000]]",1089534.28,M-int64-1M-非对齐-对称中值域
Gcd,18,"[[255, 8193], [1, 8193]]","['int32', 'int32']",{},"[[-1000, 1000], [-100, 100]]",7687.04,S-int32-2M-非对齐-Broadcast
Gcd,19,"[[4097, 511], [4097, 1]]","['int16', 'int16']",{},"[[2, 10000], [2, 10000]]",35037.32,S-int16-2M-非对齐-正数范围-Broadcast
Gcd,20,"[[2, 3, 17, 1024, 101], [1, 1, 1, 1, 101]]","['int64', 'int64']",{},"[[-100000, 100000], [-10000, 10000]]",166385.13,M-int64-10M-非对齐-非对称大值域-5D-Broadcast
