operator,case_id,input_shape,dtype,attrs,value_range,note
QuantBatchMatmulV3,1,"[[16, 64], [64, 64], [64], [64]]","[""int8"", ""int8"", ""bfloat16"", ""bfloat16""]","{""variant"": ""bf16_basic"", ""y_dtype"": ""bfloat16""}","[-2, 2]",F1-bf16_basic-M16xK64xN64
QuantBatchMatmulV3,2,"[[32, 128], [128, 64], [64], [64]]","[""int8"", ""int8"", ""bfloat16"", ""bfloat16""]","{""variant"": ""bf16_basic"", ""y_dtype"": ""bfloat16""}","[-2, 2]",F1-bf16_basic-M32xK128xN64
QuantBatchMatmulV3,3,"[[17, 64], [64, 96], [96], [96]]","[""int8"", ""int8"", ""bfloat16"", ""bfloat16""]","{""variant"": ""bf16_basic"", ""y_dtype"": ""bfloat16""}","[-2, 2]",F1-bf16_basic-tailM17-K64xN96
QuantBatchMatmulV3,4,"[[64, 128], [128, 128], [128], [128]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""variant"": ""bf16_basic"", ""y_dtype"": ""float32""}","[-2, 2]",F1-bf16_basic-fp32out-M64xK128xN128
QuantBatchMatmulV3,5,"[[24, 96], [96, 160], [160], [160]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""variant"": ""bf16_basic"", ""y_dtype"": ""float16""}","[-2, 2]",F1-bf16_basic-fp16out-M24xK96xN160
QuantBatchMatmulV3,6,"[[1, 64], [64, 32], [32], [32]]","[""int8"", ""int8"", ""bfloat16"", ""bfloat16""]","{""variant"": ""bf16_basic"", ""y_dtype"": ""bfloat16""}","[-2, 2]",F1-bf16_basic-singleM-K64xN32
QuantBatchMatmulV3,7,"[[48, 192], [192, 96], [96], [96]]","[""int8"", ""int8"", ""float32"", ""bfloat16""]","{""variant"": ""bf16_basic"", ""y_dtype"": ""bfloat16""}","[-2, 2]",F1-bf16_basic-mixedScaleBias-M48xK192xN96
QuantBatchMatmulV3,8,"[[64, 256], [256, 256], [256], [256]]","[""int8"", ""int8"", ""bfloat16"", ""float32""]","{""variant"": ""bf16_basic"", ""y_dtype"": ""bfloat16""}","[-2, 2]",F1-bf16_basic-M64xK256xN256
QuantBatchMatmulV3,9,"[[16, 64], [64, 128], [128], [128], [16]]","[""int8"", ""int8"", ""bfloat16"", ""bfloat16"", ""float32""]","{""variant"": ""pertoken_basic"", ""y_dtype"": ""bfloat16""}","[-2, 2]",F1-pertoken_basic-M16xK64xN128
QuantBatchMatmulV3,10,"[[32, 128], [128, 128], [128], [128], [32]]","[""int8"", ""int8"", ""bfloat16"", ""bfloat16"", ""float32""]","{""variant"": ""pertoken_basic"", ""y_dtype"": ""bfloat16""}","[-2, 2]",F1-pertoken_basic-M32xK128xN128
QuantBatchMatmulV3,11,"[[48, 256], [256, 64], [64], [64], [48]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""pertoken_basic"", ""y_dtype"": ""float32""}","[-2, 2]",F1-pertoken_basic-fp32out-M48xK256xN64
QuantBatchMatmulV3,12,"[[64, 256], [256, 256], [256], [256], [64]]","[""int8"", ""int8"", ""bfloat16"", ""bfloat16"", ""float32""]","{""variant"": ""pertoken_basic"", ""y_dtype"": ""bfloat16""}","[-2, 2]",F1-pertoken_basic-M64xK256xN256
QuantBatchMatmulV3,13,"[[7, 64], [64, 96], [96], [96], [7]]","[""int8"", ""int8"", ""bfloat16"", ""float32"", ""float32""]","{""variant"": ""pertoken_basic"", ""y_dtype"": ""bfloat16""}","[-2, 2]",F1-pertoken_basic-tailM7-K64xN96
QuantBatchMatmulV3,14,"[[1, 128], [128, 64], [64], [64], [1]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""pertoken_basic"", ""y_dtype"": ""float16""}","[-2, 2]",F1-pertoken_basic-singleM-fp16out
QuantBatchMatmulV3,15,"[[33, 192], [192, 128], [128], [128], [33]]","[""int8"", ""int8"", ""bfloat16"", ""bfloat16"", ""float32""]","{""variant"": ""pertoken_basic"", ""y_dtype"": ""bfloat16""}","[-2, 2]",F1-pertoken_basic-tailM33-K192xN128
QuantBatchMatmulV3,16,"[[24, 320], [320, 64], [64], [64], [24]]","[""int8"", ""int8"", ""float32"", ""bfloat16"", ""float32""]","{""variant"": ""pertoken_basic"", ""y_dtype"": ""bfloat16""}","[-2, 2]",F1-pertoken_basic-mixedScaleBias-M24xK320xN64
QuantBatchMatmulV3,17,"[[96, 128], [128, 192], [192], [192], [96]]","[""int8"", ""int8"", ""bfloat16"", ""float32"", ""float32""]","{""variant"": ""pertoken_basic"", ""y_dtype"": ""bfloat16""}","[-2, 2]",F1-pertoken_basic-M96xK128xN192
QuantBatchMatmulV3,18,"[[40, 512], [512, 128], [128], [128], [40]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""pertoken_basic"", ""y_dtype"": ""float32""}","[-2, 2]",F1-pertoken_basic-K512-M40xN128
QuantBatchMatmulV3,19,"[[15, 96], [96, 32], [32], [32], [15]]","[""int8"", ""int8"", ""bfloat16"", ""bfloat16"", ""float32""]","{""variant"": ""pertoken_basic"", ""y_dtype"": ""bfloat16""}","[-2, 2]",F1-pertoken_basic-smallN-tailM15
QuantBatchMatmulV3,20,"[[72, 256], [256, 320], [320], [320], [72]]","[""int8"", ""int8"", ""bfloat16"", ""float32"", ""float32""]","{""variant"": ""pertoken_basic"", ""y_dtype"": ""bfloat16""}","[-2, 2]",F1-pertoken_basic-largeN-M72xK256xN320
