operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
Maximum,1,"[[1024, 1024], [1024, 1024]]","['float16', 'float16']",{},"[[-1, 1], [-1, 1]]",5.29,S-float16-1M-对齐-对称小值域
Maximum,2,"[[2048, 2048], [2048, 2048]]","['float32', 'float32']",{},"[[-2, 2], [-2, 2]]",33.04,M-float32-4M-对齐-对称小值域
Maximum,3,"[[4096, 4096], [4096, 4096]]","['bfloat16', 'bfloat16']",{},"[[-3, 3], [-3, 3]]",66.66,M-bfloat16-16M-对齐-对称小值域
Maximum,4,"[[8192, 8192], [8192, 8192]]","['int32', 'int32']",{},"[[-1000, 1000], [-1000, 1000]]",625.83,L-int32-67M-对齐-对称中值域
Maximum,5,"[[4096, 4096], [4096, 4096]]","['int64', 'int64']",{},"[[-100000, 100000], [-100000, 100000]]",733.21,L-int64-268M-对齐-对称大值域
Maximum,6,"[[8192, 16384], [8192, 16384]]","['int8', 'int8']",{},"[[-128, 127], [-128, 127]]",319.88,L-int8-536M-对齐-int8全范围
Maximum,7,"[[1023, 1023], [1023, 1023]]","['float16', 'float16']",{},"[[-0.1, 0.1], [-0.1, 0.1]]",5.49,S-float16-1M-非对齐-对称微小值域
Maximum,8,"[[1009, 1021], [1009, 1021]]","['float32', 'float32']",{},"[[-1, 2], [-1, 2]]",10.7,S-float32-1M-质数非对齐-非对称小值域
Maximum,9,"[[1537, 769], [1537, 769]]","['bfloat16', 'bfloat16']",{},"[[-5, 10], [-5, 10]]",7.44,S-bfloat16-1M-非对齐-非对称中值域
Maximum,10,"[[363, 367, 373], [363, 367, 373]]","['float16', 'float16']",{},"[[-50, 100], [-50, 100]]",192.58,L-float16-50M-质数非对齐-非对称大值域-3D
Maximum,11,"[[2049, 513], [1, 513]]","['float32', 'float32']",{},"[[-10, 10], [-0.1, 0.1]]",10.33,S-float32-1M-非对齐-尾轴Broadcast
Maximum,12,"[[3, 127, 687, 37], [1, 1, 687, 1]]","['float32', 'float32']",{},"[[-100, 100], [-10, 10]]",214.43,M-float32-31M-非对齐-多轴Broadcast-4D
Maximum,13,"[[2, 3, 5, 1024, 256], [1, 1, 1, 1024, 1]]","['int32', 'int32']",{},"[[-10000, 10000], [-1000, 1000]]",39.22,M-int32-7M-非对齐-5D-多轴Broadcast
Maximum,14,"[[1000007], [1000007]]","['float32', 'float32']",{},"[['-inf', 'inf'], ['-inf', 'inf']]",10.96,S-float32-1M-质数非对齐-inf特殊值-1D
Maximum,15,"[[11, 13, 17, 67, 67], [11, 13, 17, 67, 67]]","['float16', 'float16']",{},"[['nan', 'nan'], [-1, 1]]",37.6,M-float16-10M-质数非对齐-nan特殊值-5D
Maximum,16,"[[3, 7, 11, 13, 1013], [3, 7, 11, 13, 1013]]","['float32', 'float32']",{},"[[0, 0], [0, 0]]",23.81,M-float32-3M-质数非对齐-零值-5D
Maximum,17,"[[512, 2049], [512, 2049]]","['bfloat16', 'bfloat16']",{},"[[-0.5, 0.5], [-0.5, 0.5]]",6.52,S-bfloat16-1M-非对齐-对称微小值域
Maximum,18,"[[255, 8193], [255, 8193]]","['float16', 'float16']",{},"[[-65504, 65504], [-1, 1]]",11.28,S-float16-2M-非对齐-float16边界值-Broadcast
Maximum,19,"[[4097, 511], [1, 511]]","['int16', 'int16']",{},"[[-32768, 32767], [-100, 100]]",2302.59,S-int16-2M-非对齐-int16全范围-Broadcast
Maximum,20,"[[2, 3, 17, 1024, 101], [1, 1, 1, 1024, 1]]","['float32', 'float32']",{},"[[-20, 40], [-10, 10]]",132.85,M-float32-10M-非对齐-非对称大值域-5D-Broadcast
