operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
Gather,1,"[[1024, 1024], [512, 1024]]","['float16', 'int32']",{'batch_dims': 0},"[[-1, 1], [0, 1023]]",0.0,float16-int32_idx-1M-对齐-对称小值域-batch_dims=0
Gather,2,"[[2048, 2048], [1024, 2048]]","['float32', 'int64']",{'batch_dims': 0},"[[-2, 2], [0, 2047]]",0.0,float32-int64_idx-4M-对齐-对称小值域-batch_dims=0
Gather,3,"[[4096, 4096], [2048, 4096]]","['bfloat16', 'int32']",{'batch_dims': 0},"[[-3, 3], [0, 4095]]",0.0,bfloat16-int32_idx-16M-对齐-对称小值域-batch_dims=0
Gather,4,"[[8192, 8192], [4096, 8192]]","['int32', 'int32']",{'batch_dims': 0},"[[-1000, 1000], [0, 8191]]",0.0,int32-int32_idx-67M-对齐-对称中值域-batch_dims=0
Gather,5,"[[16384, 16384], [8192, 16384]]","['int64', 'int64']",{'batch_dims': 0},"[[-100000, 100000], [0, 16383]]",0.0,int64-int64_idx-268M-对齐-对称大值域-batch_dims=0
Gather,6,"[[16384, 65536], [8192, 65536]]","['int8', 'int32']",{'batch_dims': 0},"[[-128, 127], [0, 16383]]",0.0,int8-int32_idx-1G-对齐-int8全范围-batch_dims=0
Gather,7,"[[1023, 1023], [511, 1023]]","['float16', 'int64']",{'batch_dims': 1},"[[-0.1, 0.1], [0, 1022]]",0.0,float16-int64_idx-1M-非对齐-对称微小值域-batch_dims=1
Gather,8,"[[1009, 1021], [505, 1021]]","['float32', 'int32']",{'batch_dims': 0},"[[-1, 2], [0, 1008]]",0.0,float32-int32_idx-1M-质数非对齐-非对称小值域
Gather,9,"[[1537, 769], [769, 769]]","['bfloat16', 'int64']",{'batch_dims': 0},"[[-5, 10], [0, 1536]]",0.0,bfloat16-int64_idx-1M-非对齐-非对称中值域
Gather,10,"[[363, 367, 373], [181, 367, 373]]","['float16', 'int32']",{'batch_dims': 1},"[[-50, 100], [0, 362]]",0.0,float16-int32_idx-50M-质数非对齐-非对称大值域-3D-batch_dims=1
Gather,11,"[[2049, 513], [1024, 513]]","['float32', 'int64']",{'batch_dims': 0},"[[-65504, 65504], [0, 2048]]",0.0,float32-int64_idx-1M-非对齐-float16边界值
Gather,12,"[[3, 7, 13, 4001], [2, 7, 13, 4001]]","['bfloat16', 'int32']",{'batch_dims': 1},"[[-88, 88], [0, 2]]",0.0,bfloat16-int32_idx-1M-质数非对齐-float32边界值-4D-batch_dims=1
Gather,13,"[[1000003], [1000]]","['float32', 'int64']",{'batch_dims': 0},"[['-inf', 'inf'], [0, 1000002]]",0.0,float32-int64_idx-1M-质数非对齐-inf特殊值-1D
Gather,14,"[[11, 13, 17, 67, 67], [7, 13, 17, 67, 67]]","['float16', 'int32']",{'batch_dims': 1},"[['nan', 'nan'], [0, 10]]",0.0,float16-int32_idx-10M-质数非对齐-nan特殊值-5D-batch_dims=1
Gather,15,"[[3, 7, 11, 13, 1013], [2, 7, 11, 13, 1013]]","['float32', 'int64']",{'batch_dims': 1},"[[0, 0], [0, 2]]",0.0,float32-int64_idx-3M-质数非对齐-零值-5D-batch_dims=1
Gather,16,"[[512, 2049], [256, 2049]]","['bfloat16', 'int32']",{'batch_dims': 0},"[[-0.5, 0.5], [0, 511]]",0.0,bfloat16-int32_idx-1M-非对齐-对称微小值域
Gather,17,"[[255, 8193], [127, 8193]]","['float16', 'int64']",{'batch_dims': 0},"[[-1, 3], [0, 254]]",0.0,float16-int64_idx-2M-非对齐-非对称小值域
Gather,18,"[[4097, 511], [2048, 511]]","['float32', 'int32']",{'batch_dims': 0},"[[-1000, 1000], [0, 4096]]",0.0,float32-int32_idx-2M-非对齐-对称大值域
Gather,19,"[[2, 511, 2049], [2, 255, 2049]]","['bfloat16', 'int64']",{'batch_dims': 1},"[[-0.2, 0.2], [0, 510]]",0.0,bfloat16-int64_idx-2M-非对齐-对称微小值域-3D-batch_dims=1
Gather,20,"[[4, 255, 2049], [4, 127, 2049]]","['float32', 'int32']",{'batch_dims': 2},"[[-3, 6], [0, 254]]",0.0,float32-int32_idx-2M-非对齐-非对称中值域-3D-batch_dims=2
