operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
DynamicQuant,1,"[[1024, 1024]]","[""float16""]",{},"[-1, 1]",11.64,1.57,S-float16-1M-对齐-对称小值域 | baseline_kernels: DynamicQuant×1
DynamicQuant,2,"[[2048, 2048]]","[""bfloat16""]",{},"[-2, 2]",18.90,8.74,M-bfloat16-4M-对齐-对称小值域 | baseline_kernels: DynamicQuant×1
DynamicQuant,3,"[[4096, 4096]]","[""bfloat16""]",{},"[-3, 3]",48.72,25.17,M-bfloat16-16M-对齐-对称小值域 | baseline_kernels: DynamicQuant×1
DynamicQuant,4,"[[8192, 8192]]","[""float16""]",{},"[-10, 10]",175.04,100.67,L-float16-67M-对齐-对称中值域 | baseline_kernels: DynamicQuant×1
DynamicQuant,5,"[[8192, 8192]]","[""bfloat16""]",{},"[-100, 100]",176.18,139.81,L-bfloat16-268M-对齐-对称大值域 | baseline_kernels: DynamicQuant×1
DynamicQuant,6,"[[8192, 16384]]","[""bfloat16""]",{},"[-1000, 1000]",360.59,201.33,L-bfloat16-1G-对齐-对称大值域 | baseline_kernels: DynamicQuant×1
DynamicQuant,7,"[[1023, 1023]]","[""float16""]",{},"[-0.1, 0.1]",15.60,1.57,S-float16-1M-非对齐-对称微小值域 | baseline_kernels: DynamicQuant×1
DynamicQuant,8,"[[1009, 1021]]","[""bfloat16""]",{},"[-1, 2]",15.30,2.15,S-bfloat16-1M-质数非对齐-非对称小值域 | baseline_kernels: DynamicQuant×1
DynamicQuant,9,"[[1537, 769]]","[""bfloat16""]",{},"[-5, 10]",18.08,1.77,S-bfloat16-1M-非对齐-非对称中值域 | baseline_kernels: DynamicQuant×1
DynamicQuant,10,"[[363, 367, 373]]","[""float16""]",{},"[-50, 100]",603.99,74.63,M-float16-50M-质数非对齐-非对称大值域-3D | baseline_kernels: DynamicQuant×1
DynamicQuant,11,"[[2049, 513]]","[""bfloat16""]",{},"[-65504, 65504]",20.16,2.19,S-bfloat16-1M-非对齐-float16边界值 | baseline_kernels: DynamicQuant×1
DynamicQuant,12,"[[3, 7, 13, 4001]]","[""bfloat16""]",{},"[-88, 88]",12.56,1.64,S-bfloat16-1M-质数非对齐-bfloat16边界值-4D | baseline_kernels: DynamicQuant×1
DynamicQuant,13,"[[2, 7, 256, 251]]","[""float16""]",{},"[-0.01, 0.01]",26.66,1.35,S-float16-900K-质数非对齐-对称微小值域-4D | baseline_kernels: DynamicQuant×1
DynamicQuant,14,"[[11, 13, 17, 67, 67]]","[""bfloat16""]",{},"[-1000, 1000]",608.15,22.73,M-bfloat16-10M-质数非对齐-5D | baseline_kernels: DynamicQuant×1
DynamicQuant,15,"[[256, 4099]]","[""bfloat16""]",{},"[""-inf"", ""inf""]",12.70,1.57,S-bfloat16-1M-质数非对齐-inf特殊值-2D | baseline_kernels: DynamicQuant×1
DynamicQuant,16,"[[3, 7, 11, 13, 1013]]","[""float16""]",{},"[""nan"", ""nan""]",26.60,4.57,S-float16-3M-质数非对齐-nan特殊值-5D | baseline_kernels: DynamicQuant×1
DynamicQuant,17,"[[512, 2049]]","[""bfloat16""]",{},"[0, 0]",13.42,2.19,S-bfloat16-1M-非对齐-零值 | baseline_kernels: DynamicQuant×1
DynamicQuant,18,"[[255, 8193]]","[""bfloat16""]",{},"[-0.5, 0.5]",14.88,3.13,S-bfloat16-2M-非对齐-对称微小值域 | baseline_kernels: DynamicQuant×1
DynamicQuant,19,"[[4097, 511]]","[""float16""]",{},"[-1, 3]",29.80,3.14,S-float16-2M-非对齐-非对称小值域 | baseline_kernels: DynamicQuant×1
DynamicQuant,20,"[[2, 511, 2049]]","[""bfloat16""]",{},"[-3, 6]",17.64,4.36,S-bfloat16-2M-非对齐-非对称中值域-3D | baseline_kernels: DynamicQuant×1
