operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
TopK,1,[[1048576]],['float16'],"{'k': 10, 'dim': -1, 'largest': True}","[-1, 1]",None,float16-1M-对齐-1D-k=10-dim=-1-largest
TopK,2,"[[2048, 2048]]",['float32'],"{'k': 100, 'dim': -1, 'largest': True}","[-2, 2]",None,float32-4M-对齐-2D-k=100-dim=-1
TopK,3,"[[4096, 4096]]",['bfloat16'],"{'k': 64, 'dim': -1, 'largest': True}","[-3, 3]",None,bfloat16-16M-对齐-2D-k=64-dim=-1
TopK,4,"[[8192, 8192]]",['int32'],"{'k': 256, 'dim': 0, 'largest': True}","[-10000, 10000]",None,int32-67M-对齐-2D-k=256-dim=0
TopK,5,"[[16384, 16384]]",['int64'],"{'k': 512, 'dim': -1, 'largest': False}","[-100000, 100000]",None,int64-268M-对齐-2D-k=512-dim=-1-smallest
TopK,6,"[[16384, 65536]]",['float32'],"{'k': 1024, 'dim': 0, 'largest': True}","[-1000, 1000]",None,float32-1G-对齐-2D-k=1024-dim=0
TopK,7,"[[1023, 1023]]",['float16'],"{'k': 10, 'dim': -1, 'largest': True}","[-0.1, 0.1]",None,float16-1M-非对齐-2D-k=10-微小值域
TopK,8,"[[1009, 1021]]",['float32'],"{'k': 50, 'dim': 0, 'largest': False}","[-1, 2]",None,float32-1M-质数非对齐-2D-k=50-dim=0-smallest
TopK,9,"[[1537, 769]]",['bfloat16'],"{'k': 128, 'dim': -1, 'largest': True}","[-5, 10]",None,bfloat16-1M-非对齐-2D-k=128-非对称
TopK,10,"[[363, 367, 373]]",['int32'],"{'k': 20, 'dim': 1, 'largest': True}","[-50, 100]",None,int32-50M-质数非对齐-3D-k=20-dim=1
TopK,11,"[[2049, 513]]",['float16'],"{'k': 256, 'dim': -1, 'largest': True}","[-65504, 65504]",None,float16-1M-非对齐-2D-k=256-float16边界值
TopK,12,"[[3, 7, 13, 4001]]",['float32'],"{'k': 2000, 'dim': -1, 'largest': True}","[-88, 88]",None,float32-1M-质数非对齐-4D-k=2000-float32边界值
TopK,13,"[[2, 7, 256, 256]]",['bfloat16'],"{'k': 32, 'dim': 1, 'largest': False}","[-0.01, 0.01]",None,bfloat16-917K-对齐-4D-k=32-dim=1-smallest-微小值域
TopK,14,[[1000003]],['float32'],"{'k': 100, 'dim': -1, 'largest': True}","['-inf', 'inf']",None,float32-1M-质数非对齐-1D-k=100-inf特殊值
TopK,15,"[[11, 13, 17, 67, 67]]",['float16'],"{'k': 33, 'dim': 2, 'largest': True}","['nan', 'nan']",None,float16-10M-质数非对齐-5D-k=33-dim=2-nan特殊值
TopK,16,"[[3, 7, 11, 13, 1013]]",['int64'],"{'k': 10, 'dim': -1, 'largest': True}","[0, 0]",None,int64-3M-质数非对齐-5D-k=10-零值
TopK,17,"[[512, 2049]]",['float32'],"{'k': 512, 'dim': -1, 'largest': True}","[-0.5, 0.5]",None,float32-1M-非对齐-2D-k=512-微小值域
TopK,18,"[[255, 8193]]",['bfloat16'],"{'k': 128, 'dim': 0, 'largest': False}","[-1, 3]",None,bfloat16-2M-非对齐-2D-k=128-dim=0-smallest
TopK,19,"[[4097, 511]]",['float32'],"{'k': 256, 'dim': -1, 'largest': True}","[-1000, 1000]",None,float32-2M-非对齐-2D-k=256-大值域
TopK,20,"[[2, 511, 2049]]",['float16'],"{'k': 100, 'dim': 1, 'largest': True}","[-3, 6]",None,float16-2M-非对齐-3D-k=100-dim=1-非对称中值域
